"","Var1","Freq"
"147","광주광역시 광산구 송도로114번길",4
"148","광주광역시 광산구 송도로162번길",10
"149","광주광역시 광산구 송도로182번길",10
"150","광주광역시 광산구 송도로212번길",2
"151","광주광역시 광산구 송도로270번길",1
"152","광주광역시 광산구 송도로284번길",1
"153","광주광역시 광산구 송도로304번길",2
"154","광주광역시 광산구 송도로320번길",5
"155","광주광역시 광산구 송도로85번길",1
"156","광주광역시 광산구 송정공원로",2
"157","광주광역시 광산구 송정로",40
"158","광주광역시 광산구 송정로15번길",7
"159","광주광역시 광산구 송정로16번길",1
"160","광주광역시 광산구 송정로1번길",14
"161","광주광역시 광산구 송정로29번길",23
"162","광주광역시 광산구 송정로2번길",5
"163","광주광역시 광산구 송정로30번길",4
"164","광주광역시 광산구 송정로39번길",2
"165","광주광역시 광산구 송정로51번길",2
"166","광주광역시 광산구 송정로52번길",6
"167","광주광역시 광산구 송정로65번길",5
"168","광주광역시 광산구 송정로8번길",56
"169","광주광역시 광산구 송정외로",2
"170","광주광역시 광산구 송촌길",3
"171","광주광역시 광산구 수남길",1
"172","광주광역시 광산구 수등로",95
"173","광주광역시 광산구 수등로123번길",4
"174","광주광역시 광산구 수등로243번길",24
"175","광주광역시 광산구 수등로258번길",26
"176","광주광역시 광산구 수등로76번길",41
"177","광주광역시 광산구 수등로94번길",24
"178","광주광역시 광산구 수완로",48
"179","광주광역시 광산구 수완로106번길",7
"180","광주광역시 광산구 수완로10번길",5
"181","광주광역시 광산구 수완로11번길",7
"182","광주광역시 광산구 수완로11번안길",10
"183","광주광역시 광산구 수완로12번길",3
"184","광주광역시 광산구 수완로14번길",7
"185","광주광역시 광산구 수완로33번길",6
"186","광주광역시 광산구 수완로48번길",15
"187","광주광역시 광산구 수완로49번길",17
"188","광주광역시 광산구 수완로50번길",27
"189","광주광역시 광산구 수완로52번길",35
"190","광주광역시 광산구 수완로73번길",11
"191","광주광역시 광산구 수완로74번길",74
"192","광주광역시 광산구 수완로9번길",24
"193","광주광역시 광산구 시례동표산길",3
"194","광주광역시 광산구 신가로",9
"195","광주광역시 광산구 신가로3번길",2
"196","광주광역시 광산구 신가로40번길",2
"197","광주광역시 광산구 신가로4번길",1
"198","광주광역시 광산구 신가매결길",1
"199","광주광역시 광산구 신가번영로",12
"200","광주광역시 광산구 신가번영로14번길",2
"201","광주광역시 광산구 신가번영로24번길",9
"202","광주광역시 광산구 신가번영로33번길",1
"203","광주광역시 광산구 신가번영로34번길",9
"204","광주광역시 광산구 신가번영로47번길",1
"205","광주광역시 광산구 신가번영로56번길",1
"206","광주광역시 광산구 신가번영로8번길",4
"207","광주광역시 광산구 신가번영로9번안길",1
"208","광주광역시 광산구 신가삼효로",32
"209","광주광역시 광산구 신동산길",1
"210","광주광역시 광산구 신창동",1
"211","광주광역시 광산구 신창로",74
"212","광주광역시 광산구 신창로105번길",18
"213","광주광역시 광산구 신창로106번길",8
"214","광주광역시 광산구 신창로131번길",17
"215","광주광역시 광산구 신창로138번길",27
"216","광주광역시 광산구 신창로161번길",8
"217","광주광역시 광산구 신창로162번길",6
"218","광주광역시 광산구 신창로166번길",1
"219","광주광역시 광산구 신창로33번길",20
"220","광주광역시 광산구 신창로35번길",15
"221","광주광역시 광산구 신창로36번길",8
"222","광주광역시 광산구 신창로36번안길",2
"223","광주광역시 광산구 신창로48번길",8
"224","광주광역시 광산구 신창로71번길",14
"225","광주광역시 광산구 신창로72번길",49
"226","광주광역시 광산구 신창로86번길",16
